scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,5506,Nogales,Valparaíso,True,True,8394,5709,5709,0,63,5772,2685,2685,2622,2622,63,63
commune,5601,San Antonio,Valparaíso,True,True,40831,29702,29703,1,678,30381,11128,11128,10450,10450,678,678
commune,5602,Algarrobo,Valparaíso,True,True,21317,18116,18120,4,118,18238,3197,3197,3079,3079,118,118
commune,5603,Cartagena,Valparaíso,True,True,18205,10643,10648,5,208,10856,7557,7557,7349,7349,208,208
commune,5604,El Quisco,Valparaíso,True,True,18694,13670,13676,6,157,13833,5018,5018,4861,4861,157,157
commune,5605,El Tabo,Valparaíso,True,True,25126,13781,13786,5,109,13895,11340,11340,11231,11231,109,109
commune,5606,Santo Domingo,Valparaíso,True,True,8893,6128,6130,2,24,6154,2763,2763,2739,2739,24,24
commune,5701,San Felipe,Valparaíso,True,True,31606,27433,27433,0,277,27710,4173,4173,3896,3896,277,277
commune,5702,Catemu,Valparaíso,True,True,5603,4056,4057,1,37,4094,1546,1546,1509,1509,37,37
commune,5703,Llaillay,Valparaíso,True,True,10434,7503,7507,4,99,7606,2927,2927,2828,2828,99,99
commune,5704,Panquehue,Valparaíso,True,True,2862,1878,1878,0,21,1899,984,984,963,963,21,21
commune,5705,Putaendo,Valparaíso,True,True,6734,4947,4950,3,49,4999,1784,1784,1735,1735,49,49
commune,5706,Santa María,Valparaíso,True,True,6088,5000,5000,0,34,5034,1088,1088,1054,1054,34,34
commune,5801,Quilpué,Valparaíso,True,True,65971,56409,56413,4,532,56945,9558,9558,9026,9026,532,532
commune,5802,Limache,Valparaíso,True,True,24661,16475,16479,4,211,16690,8182,8182,7971,7971,211,211
commune,5803,Olmué,Valparaíso,True,True,10529,6429,6429,0,79,6508,4100,4100,4021,4021,79,79
commune,5804,Villa Alemana,Valparaíso,True,True,55191,50450,50451,1,297,50748,4740,4740,4443,4443,297,297
commune,6101,Rancagua,Libertador General Bernardo O'Higgins,True,True,100376,95995,96011,16,1074,97085,4365,4365,3291,3291,1074,1074
